-20716,TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS,T_RIF40_INVESTIGATIONS,"TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS, raised error number: -20716, from line: [0343]",Consult message text,"ORA-20716: T_RIF40_INVESTIGATIONS study: %s investigation: %s min age group: %s is after max age group: %s
Error message arguments: :NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,TO_CHAR(:NEW.min_age_group)/* min age group*/,TO_CHAR(:NEW.max_age_group)/* max age group */"
-20207,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20207, from line: [0347]",Consult message text,"ORA-20207: T_RIF40_STUDIES study %s comparison area geolevel name: \"%s\" in RIF40_GEOLEVELS is not a comparison area
Error message arguments: :NEW.study_id/* Study id */,:NEW.comparison_geolevel_name /* comparison area geolevel name */ "
-20717,TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS,T_RIF40_INVESTIGATIONS,"TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS, raised error number: -20717, from line: [0350]",Consult message text,"ORA-20717: T_RIF40_INVESTIGATIONS study: %s investigation: %s year stop: %s is after year stop: %s
Error message arguments: :NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,TO_CHAR(:NEW.year_start)/* Year start */,TO_CHAR(:NEW.year_stop)/* Year stop */"
-20208,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20208, from line: [0356]",Consult message text,"ORA-20208: T_RIF40_STUDIES study %s NULL comparison area geolevel name
Error message arguments: :NEW.study_id/* Study id */"
-20276,TRIGGER: T_RIF40_INV_COVARIATES_CHECKS,T_RIF40_INV_COVARIATES,"TRIGGER: T_RIF40_INV_COVARIATES_CHECKS, raised error number: -20276, from line: [0358]",Consult message text,"ORA-20276: T_RIF40_INV_COVARIATES Caught %s for study: %s investigation: %s covariate: %s covariate table column: %s.%s.%s min value: %s; SQL %s
Error message arguments: sqlerrm/* Error message */,:NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,:NEW.covariate_name/* Covariate */,owner/* Owner */,table_or_view/* Covariate table */,:NEW.covariate_name/* Covariate column */,:NEW.min/* Min value */,sql_stmt/* SQL Statement */"
-20209,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20209, from line: [0367]",Consult message text,"ORA-20209: T_RIF40_STUDIES study %s study area geolevel name: \"%s\" not found in RIF40_GEOLEVELS
Error message arguments: :NEW.study_id/* Study id */,:NEW.study_geolevel_name /* Study area geolevel name */"
-20277,TRIGGER: T_RIF40_INV_COVARIATES_CHECKS,T_RIF40_INV_COVARIATES,"TRIGGER: T_RIF40_INV_COVARIATES_CHECKS, raised error number: -20277, from line: [0371]",Consult message text,"ORA-20277: T_RIF40_INV_COVARIATES study: %s investigation: %s covariate: %s covariate table column: %s.%s.%s min value: %s not found
Error message arguments: :NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,:NEW.covariate_name/* Covariate */,owner/* Owner */,table_or_view/* Covariate table */,:NEW.covariate_name/* Covariate column */,:NEW.min/* Min value */"
-20718,TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS,T_RIF40_INVESTIGATIONS,"TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS, raised error number: -20718, from line: [0376]",Consult message text,"ORA-20718: T_RIF40_INVESTIGATIONS study: %s investigation: %s numerator RIF40_TABLES total field column: %s.%s.%s NOT found
Error message arguments: :NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,owner/* Numerator owner */,table_or_view/* Numerator */,c1a_rec.total_field/* Total field name */"
-20210,TRIGGER: T_RIF40_STUDIES_CHECKS,T_RIF40_STUDIES,"TRIGGER: T_RIF40_STUDIES_CHECKS, raised error number: -20210, from line: [0385]",Consult message text,"ORA-20210: T_RIF40_STUDIES study %s NULL study area geolevel name
Error message arguments: :NEW.study_id/* Study id */"
-20278,TRIGGER: T_RIF40_INV_COVARIATES_CHECKS,T_RIF40_INV_COVARIATES,"TRIGGER: T_RIF40_INV_COVARIATES_CHECKS, raised error number: -20278, from line: [0386]",Consult message text,"ORA-20278: T_RIF40_INV_COVARIATES Caught %s for study: %s investigation: %s covariate: %s covariate table column: %s.%s.%s max value: %s; SQL %s
Error message arguments: sqlerrm/* Error message */,:NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,:NEW.covariate_name/* Covariate */,owner/* Owner */,table_or_view/* Covariate table */,:NEW.covariate_name/* Covariate column */,:NEW.max/* Min value */,sql_stmt/* SQL Statement */"
-20797,PACKAGE BODY: RIF40_CHECKS,,"PACKAGE BODY: RIF40_CHECKS, raised error number: -20797, from line: [0393]",Consult message text,"ORA-20797: T_RIF40_INV_CONDITIONS study: %s investigation: %s line: %s SQL injection error in %s: value: \"%s\"; contains NON alphanumeric chars at position(s) (%s); %s; total (,),SUM(,SUBSTR(,END)=%s,%s,%s,%s,%s"
-20719,TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS,T_RIF40_INVESTIGATIONS,"TRIGGER: T_RIF40_INVESTIGATIONS_CHECKS, raised error number: -20719, from line: [0397]",Consult message text,"ORA-20719: T_RIF40_INVESTIGATIONS study: %s investigation: %s numerator RIF40_TABLES sex field column: %s.%s.%s NOT found
Error message arguments: :NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,owner/* Numerator owner */,table_or_view/* Numerator */,c1a_rec.sex_field_name/* Sex field name */"
-20824,PACKAGE BODY: RIF40_XML_GENERATOR,,"PACKAGE BODY: RIF40_XML_GENERATOR, raised error number: -20824, from line: [0398]",Consult message text,"ORA-20824: Error: RIF40_XML_GENERATOR invalid statement type %s study_id: %s
Error message arguments: statement_type,study_id"
-20279,TRIGGER: T_RIF40_INV_COVARIATES_CHECKS,T_RIF40_INV_COVARIATES,"TRIGGER: T_RIF40_INV_COVARIATES_CHECKS, raised error number: -20279, from line: [0398]",Consult message text,"ORA-20279: T_RIF40_INV_COVARIATES study: %s investigation: %s covariate: %s covariate table column: %s.%s.%s max value: %s not found
Error message arguments: :NEW.study_id/* Study */,:NEW.inv_id/* Investigation */,:NEW.covariate_name/* Covariate */,owner/* Owner */,table_or_view/* Covariate table */,:NEW.covariate_name/* Covariate column */,:NEW.max/* Max value */"
